dataset,seed,harp_elapsed_sec,harp_esep_elapsed_sec,selected_model,selected_esep,two_expert_elapsed_sec,selected_branch_elapsed_sec,overhead_vs_harp,esep_cost_share
amazon-ratings,8,263.4677014350891,129.84799432754517,harp,False,393.3156957626343,263.4677014350891,1.492842172381179,0.3301368232350136
amazon-ratings,9,197.4075312614441,117.3601861000061,harp,False,314.7677173614502,197.4075312614441,1.5945071363289363,0.37284695865186357
chameleon,0,23.016478538513184,28.500894784927368,harp_esep,True,51.51737332344055,28.500894784927368,2.2382821610715635,0.5532288031455086
chameleon,1,19.09303045272827,28.45919275283813,harp_esep,True,47.552223205566406,28.45919275283813,2.4905539915886687,0.598482906462862
chameleon,2,19.058930158615112,28.473309993743896,harp_esep,True,47.53224015235901,28.473309993743896,2.493961610477556,0.5990315184488686
chameleon,3,18.023849725723267,28.41466426849365,harp_esep,True,46.43851399421692,28.41466426849365,2.576503616091563,0.6118771214779221
chameleon,4,21.426496982574463,28.34710693359375,harp_esep,True,49.77360391616821,28.34710693359375,2.322993065858951,0.5695208846306911
chameleon,5,17.901775598526,28.47986149787903,harp_esep,True,46.38163709640503,28.47986149787903,2.5908959053326535,0.614033123468306
chameleon,6,19.066649675369263,28.5991325378418,harp_esep,True,47.66578221321106,28.5991325378418,2.499955840421551,0.5999929343426417
chameleon,7,22.865679264068604,23.41795825958252,harp_esep,True,46.28363752365112,23.41795825958252,2.024153185616566,0.5059662444987356
chameleon,8,20.12875986099243,29.579089403152462,harp_esep,True,49.7078492641449,29.579089403152462,2.469493878779579,0.5950587249504748
chameleon,9,26.16053056716919,28.874261379241943,harp_esep,True,55.03479194641113,28.874261379241943,2.1037337834225127,0.5246546840289247
cornell,0,2.6104652881622314,1.6897141933441162,harp,False,4.300179481506348,2.6104652881622314,1.647284681779345,0.39294038786311575
cornell,1,2.588536739349365,0.4070546627044678,harp,False,2.9955914020538326,2.588536739349365,1.1572528048440147,0.1358845743866749
cornell,2,4.922499418258667,0.458796739578247,harp,False,5.381296157836914,4.922499418258667,1.0932040210866183,0.08525766397563718
cornell,3,2.4781060218811035,0.4956450462341308,harp,False,2.9737510681152344,2.4781060218811035,1.200009620999949,0.16667334786306476
cornell,4,7.288239002227783,0.573939323425293,harp,False,7.862178325653076,7.288239002227783,1.0787486968045172,0.07300003887632736
cornell,5,6.787386894226074,1.834289312362671,harp,False,8.621676206588745,6.787386894226074,1.2702497059543008,0.21275321276399758
cornell,6,4.857057094573975,1.5414128303527832,harp,False,6.398469924926758,4.857057094573975,1.3173553039091843,0.24090334852522222
cornell,7,2.5986862182617188,0.8875429630279541,harp,False,3.486229181289673,2.5986862182617188,1.3415352560809124,0.254585374877627
cornell,8,4.8440258502960205,0.491279125213623,harp,False,5.3353049755096436,4.8440258502960205,1.1014195919667937,0.09208079528137839
cornell,9,4.706002235412598,0.9491989612579346,harp,False,5.655201196670532,4.706002235412598,1.2016996409638794,0.167845303508701
roman-empire,0,101.58365201950072,76.75093913078308,harp_esep,True,178.3345911502838,76.75093913078308,1.7555442003212234,0.4303760624101497
roman-empire,1,58.75894379615784,63.05782604217529,harp_esep,True,121.81676983833313,63.05782604217529,2.0731613260600943,0.517644870454711
roman-empire,2,78.31081914901733,102.42803502082825,harp_esep,True,180.73885416984558,102.42803502082825,2.307967866175916,0.5667184042484502
roman-empire,3,91.96155786514282,101.73719191551208,harp_esep,True,193.6987497806549,101.73719191551208,2.106301309778862,0.5252341175702973
roman-empire,4,90.49334859848022,98.73883986473083,harp_esep,True,189.23218846321106,98.73883986473083,2.0911170974878597,0.5217867037664515
roman-empire,5,60.34325861930847,60.33628225326538,harp_esep,True,120.67954087257385,60.33628225326538,1.9998843886425308,0.49997109548978785
roman-empire,6,51.856597661972046,87.22896027565002,harp_esep,True,139.08555793762207,87.22896027565002,2.682118847137894,0.6271604440395673
roman-empire,7,118.52602219581604,108.13696575164796,harp_esep,True,226.662987947464,108.13696575164796,1.9123478857072889,0.47708259178473367
roman-empire,8,99.57337379455566,103.20366668701172,harp_esep,True,202.77704048156738,103.20366668701172,2.03645847031302,0.5089514396793509
roman-empire,9,85.75921487808228,98.40730261802672,harp_esep,True,184.166517496109,98.40730261802672,2.1474837165653318,0.5343387275599965
squirrel,0,73.83998227119446,91.88982057571413,harp_esep,True,165.72980284690857,91.88982057571413,2.244445322836447,0.5544556199140388
squirrel,1,77.30642461776733,91.69731855392456,harp_esep,True,169.0037431716919,91.69731855392456,2.1861539193839494,0.5425756662724843
squirrel,2,74.79909253120422,91.60534501075745,harp_esep,True,166.40443754196167,91.60534501075745,2.2246852456470925,0.5504982100471787
squirrel,3,62.291589975357056,92.52077150344849,harp_esep,True,154.81236147880554,92.52077150344849,2.485285116980483,0.5976316788896406
squirrel,4,73.08829736709595,92.9430193901062,harp_esep,True,166.03131675720215,92.9430193901062,2.271653913666742,0.5597920994990513
squirrel,5,72.29305744171143,91.58450889587402,harp_esep,True,163.87756633758545,91.58450889587402,2.2668506788458482,0.5588593420237352
squirrel,6,73.28637623786926,93.29224944114684,harp_esep,True,166.5786256790161,93.29224944114684,2.2729821588987225,0.5600493404292676
squirrel,7,75.3141701221466,92.3605945110321,harp_esep,True,167.6747646331787,92.3605945110321,2.2263375452619227,0.5508318124858499
squirrel,8,208.0287754535675,93.14814138412476,harp_esep,True,301.17691683769226,93.14814138412476,1.4477656573280921,0.3092804799324092
squirrel,9,77.26453804969788,93.80539965629578,harp_esep,True,171.06993770599365,93.80539965629578,2.214080896930472,0.5483453195471012
texas,0,7.872325897216797,2.4311318397521973,harp,False,10.303457736968994,7.872325897216797,1.3088200198383182,0.23595300740927502
