dataset,model,seed,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss,best_epoch,elapsed_sec,meta_dataset_type,meta_source,meta_split_id,meta_make_undirected,meta_num_nodes,meta_num_edges,meta_edge_homophily,filter_weights,diag_gate_mean,diag_gate_std,diag_gate_q25,diag_gate_median,diag_gate_q75,diag_gate_gt_0_5,diag_gate_min,diag_gate_max,diag_gate_features,diag_structure_norm,diag_ego_norm,diag_residual_norm,diag_selector_mean,diag_selector_std,diag_selector_q25,diag_selector_median,diag_selector_q75,diag_selector_gt_0_5,diag_selector_features,diag_adaptive_hidden_norm,diag_esep_minus_self_norm,diag_blend_weight,diag_self_logit_norm,diag_esep_logit_norm,diag_logit_gap_norm
wisconsin,harp,0,1.0,0.887499988079071,0.8235294222831726,0.0003771478368435,0.6157719492912292,1.0399144887924194,87,2.2626240253448486,geom_gcn,wisconsin,0,True,251,450,0.1777777777777777,"{'low': [0.3003678619861603, 0.22120356559753418, 0.2433617264032364, 0.23506684601306915], 'high': [0.4791017472743988, 0.2635258138179779, 0.2573724389076233]}",0.7149572372436523,0.2750982940196991,0.4222592115402221,0.8373414278030396,0.9526988863945008,0.7234188318252563,0.027170680463314,0.9999946355819702,64.0,,,,,,,,,,,,,,,,
wisconsin,harp_x,0,1.0,0.8999999761581421,0.7843137383460999,0.0003293894405942,0.5170199275016785,1.8548380136489868,36,2.040635824203491,geom_gcn,wisconsin,0,True,251,450,0.1777777777777777,"{'low': [0.3163953721523285, 0.2397443652153015, 0.22297805547714233, 0.22088223695755005], 'high': [0.47017285227775574, 0.2636870741844177, 0.266139954328537]}",0.4729202687740326,0.2981326282024383,0.2303641885519027,0.3371508717536926,0.7641217112541199,0.4168949127197265,0.0027165752835571,0.9999610185623168,64.0,,,,,,,,,,,,,,,,
wisconsin,linkx,1,0.9833333492279052,0.8125,0.8823529481887817,0.0430913791060447,1.2374632358551023,0.8940265774726868,15,0.5198302268981934,geom_gcn,wisconsin,1,True,251,450,0.1777777777777777,,,,,,,,,,,,,,,,,,,,,,,,,,
wisconsin,h2gcn,1,1.0,0.8374999761581421,0.8235294222831726,0.0003843934100586,0.8980128169059753,0.6227247714996338,55,0.9771804809570312,geom_gcn,wisconsin,1,True,251,450,0.1777777777777777,,,,,,,,,,,,,,,,,,,,,,,,,,
wisconsin,harp,1,1.0,0.8500000238418579,0.8627451062202454,0.0004242130671627,0.990303635597229,0.6955639719963074,68,2.168149471282959,geom_gcn,wisconsin,1,True,251,450,0.1777777777777777,"{'low': [0.3226620554924011, 0.23615334928035736, 0.21841850876808167, 0.22276611626148224], 'high': [0.4694073498249054, 0.2735510468482971, 0.2570415437221527]}",0.6892127394676208,0.2471160739660263,0.4818626940250397,0.7533154487609863,0.9121102094650269,0.7350597381591797,0.0430657975375652,0.999988317489624,64.0,,,,,,,,,,,,,,,,
wisconsin,harp_x,1,1.0,0.8500000238418579,0.8039215803146362,8.386961781070568e-06,1.091549515724182,1.018688440322876,125,4.189637184143066,geom_gcn,wisconsin,1,True,251,450,0.1777777777777777,"{'low': [0.4199393689632416, 0.19478227198123932, 0.19538752734661102, 0.1898908168077469], 'high': [0.5441911816596985, 0.23081240057945251, 0.224996417760849]}",0.4370806217193603,0.1744727790355682,0.3544166088104248,0.3798896670341491,0.5050487518310547,0.2551045715808868,0.0005163537571206,0.999990940093994,64.0,,,,,,,,,,,,,,,,
cornell,linkx,0,1.0,0.8983050584793091,0.7027027010917664,0.0001676487299846,1.0099092721939087,2.18744158744812,27,0.4718005657196045,geom_gcn,cornell,0,True,183,277,0.1227436823104693,,,,,,,,,,,,,,,,,,,,,,,,,,
cornell,h2gcn,0,1.0,0.8644067645072937,0.7837837934494019,0.000136140777613,0.7145287990570068,1.3211686611175537,119,1.0769071578979492,geom_gcn,cornell,0,True,183,277,0.1227436823104693,,,,,,,,,,,,,,,,,,,,,,,,,,
cornell,harp,0,1.0,0.8644067645072937,0.7297297120094299,0.0018536888528615,0.6126002669334412,1.0494790077209473,27,1.1584396362304688,geom_gcn,cornell,0,True,183,277,0.1227436823104693,"{'low': [0.31775999069213867, 0.2363835722208023, 0.22258475422859192, 0.2232717126607895], 'high': [0.4284387230873108, 0.28756001591682434, 0.28400126099586487]}",0.6908884644508362,0.3334243893623352,0.3766800761222839,0.8541697263717651,0.9839528799057008,0.6997097134590149,1.9532275530309562e-07,1.0,64.0,,,,,,,,,,,,,,,,
cornell,harp_x,0,1.0,0.8644067645072937,0.7567567825317383,1.805372266971972e-05,1.1875665187835691,1.963121771812439,42,1.647555589675903,geom_gcn,cornell,0,True,183,277,0.1227436823104693,"{'low': [0.3515920042991638, 0.22197836637496948, 0.2138301581144333, 0.21259945631027222], 'high': [0.44672754406929016, 0.28046637773513794, 0.2728060483932495]}",0.4637724161148071,0.2927941381931305,0.2393648028373718,0.3368556499481201,0.7336748838424683,0.3845628499984741,0.001108526950702,0.9999992847442628,64.0,,,,,,,,,,,,,,,,
cornell,linkx,1,1.0,0.7966101765632629,0.837837815284729,0.0007024605292826,1.1655328273773191,1.1007099151611328,60,0.7465689182281494,geom_gcn,cornell,1,True,183,277,0.1227436823104693,,,,,,,,,,,,,,,,,,,,,,,,,,
cornell,h2gcn,1,1.0,0.7627118825912476,0.7567567825317383,0.000718435680028,1.1301039457321167,1.107085347175598,63,0.8937234878540039,geom_gcn,cornell,1,True,183,277,0.1227436823104693,,,,,,,,,,,,,,,,,,,,,,,,,,
cornell,harp,1,1.0,0.7627118825912476,0.7567567825317383,0.0093661332502961,1.2602099180221558,0.9003584384918213,23,1.0371246337890625,geom_gcn,cornell,1,True,183,277,0.1227436823104693,"{'low': [0.3108677268028259, 0.23626478016376495, 0.22343572974205017, 0.2294316589832306], 'high': [0.42932772636413574, 0.2857677638530731, 0.28490447998046875]}",0.750266432762146,0.3354873955249786,0.5077192783355713,0.9589816927909852,0.9981522560119628,0.7518784403800964,5.608256469713524e-05,1.0,64.0,,,,,,,,,,,,,,,,
cornell,harp_x,1,1.0,0.7966101765632629,0.7567567825317383,4.850843833992258e-05,1.4544477462768557,1.6621379852294922,75,2.4142496585845947,geom_gcn,cornell,1,True,183,277,0.1227436823104693,"{'low': [0.3870762884616852, 0.241488978266716, 0.18319135904312134, 0.18824337422847748], 'high': [0.49126002192497253, 0.2583121061325073, 0.25042784214019775]}",0.4141511023044586,0.2393458187580108,0.2918252348899841,0.3065430521965027,0.5607889890670776,0.2872267663478851,0.0016238557873293,0.9998090863227844,64.0,,,,,,,,,,,,,,,,
actor,linkx,0,0.5633223652839661,0.3799342215061188,0.351973682641983,1.119200348854065,1.371414303779602,1.3877705335617063,21,8.05775499343872,geom_gcn,actor,0,True,7600,26659,0.2167373119771934,,,,,,,,,,,,,,,,,,,,,,,,,,
actor,h2gcn,0,0.5879934430122375,0.3787006437778473,0.3631578981876373,1.1162216663360596,1.3718968629837036,1.390284538269043,39,16.367297172546387,geom_gcn,actor,0,True,7600,26659,0.2167373119771934,,,,,,,,,,,,,,,,,,,,,,,,,,
actor,harp,0,0.4969846606254577,0.3811677694320678,0.3631578981876373,1.1792126893997192,1.4111130237579346,1.4246494770050049,17,23.22948408126831,geom_gcn,actor,0,True,7600,26659,0.2167373119771934,"{'low': [0.30223745107650757, 0.23223672807216644, 0.2327553629875183, 0.2327703833580017], 'high': [0.40169230103492737, 0.2989494502544403, 0.29935815930366516]}",0.2325775027275085,0.043493028730154,0.2064768970012664,0.2158631980419159,0.2443295121192932,0.0005777138285338,0.1490062475204467,0.6800437569618225,64.0,,,,,,,,,,,,,,,,
actor,harp_x,0,0.5559210777282715,0.3824013173580169,0.3572368323802948,1.130223035812378,1.401764750480652,1.4138460159301758,16,29.996342182159424,geom_gcn,actor,0,True,7600,26659,0.2167373119771934,"{'low': [0.31222063302993774, 0.22953978180885315, 0.2291458547115326, 0.22909371554851532], 'high': [0.406949907541275, 0.2969440817832947, 0.2961059510707855]}",0.2285213619470596,0.0409351103007793,0.2030459195375442,0.2112455368041992,0.2416183352470398,0.0004461348580662,0.1656577438116073,0.6086767911911011,64.0,,,,,,,,,,,,,,,,
actor,linkx,1,0.6123903393745422,0.3634868562221527,0.3467105329036712,1.0537221431732178,1.3839929103851318,1.3876360654830933,20,7.887710094451904,geom_gcn,actor,1,True,7600,26659,0.2167373119771934,,,,,,,,,,,,,,,,,,,,,,,,,,
actor,h2gcn,1,0.6496710777282715,0.3795230388641357,0.3513157963752746,1.0393166542053225,1.3850669860839844,1.4001154899597168,79,22.55897188186645,geom_gcn,actor,1,True,7600,26659,0.2167373119771934,,,,,,,,,,,,,,,,,,,,,,,,,,
actor,harp,1,0.5290570259094238,0.3634868562221527,0.3447368443012237,1.1596479415893557,1.436477780342102,1.4453481435775757,13,20.60126256942749,geom_gcn,actor,1,True,7600,26659,0.2167373119771934,"{'low': [0.2891561686992645, 0.23946790397167206, 0.23570692539215088, 0.23566898703575134], 'high': [0.38052910566329956, 0.31011977791786194, 0.3093510866165161]}",0.1995446681976318,0.0081079192459583,0.1951728612184524,0.2005578726530075,0.2032858431339264,0.0,0.1206304654479026,0.2596505880355835,64.0,,,,,,,,,,,,,,,,
actor,harp_x,1,0.461348682641983,0.359786182641983,0.3532894849777221,1.2530597448349,1.3892581462860107,1.402402639389038,10,29.06401324272156,geom_gcn,actor,1,True,7600,26659,0.2167373119771934,"{'low': [0.27632445096969604, 0.2422182410955429, 0.24049025774002075, 0.2409670352935791], 'high': [0.36463117599487305, 0.31828776001930237, 0.3170810043811798]}",0.2002083957195282,0.004846311174333,0.1974332779645919,0.1987095475196838,0.201790377497673,0.0,0.1833562701940536,0.2411902099847793,64.0,,,,,,,,,,,,,,,,
