dataset,seed,val_size,selector_z,harp_val_acc,esep_val_acc,val_diff,val_diff_standard_error,selection_threshold,selected_model,selected_esep,harp_test_acc,esep_test_acc,test_acc,oracle_test_acc,oracle_regret
squirrel,1,1664,1.96,0.3689903914928436,0.4627403914928436,0.09375,0.01700975759371815,0.03333912488368758,harp_esep,True,0.3631123900413513,0.4783861637115478,0.4783861637115478,0.4783861637115478,0.0
squirrel,2,1664,1.96,0.3701923191547394,0.4819711446762085,0.11177882552146912,0.017034060307468294,0.03338675820263785,harp_esep,True,0.380403459072113,0.4601344764232635,0.4601344764232635,0.4601344764232635,0.0
squirrel,3,1664,1.96,0.3996394276618957,0.4525240361690521,0.05288460850715643,0.01711938054168971,0.033553985861711835,harp_esep,True,0.390970230102539,0.4543707966804504,0.4543707966804504,0.4543707966804504,0.0
squirrel,4,1664,1.96,0.3774038553237915,0.4777644276618957,0.10036057233810419,0.01706315623972817,0.03344378622986721,harp_esep,True,0.3842459321022033,0.4774255454540252,0.4774255454540252,0.4774255454540252,0.0
squirrel,5,1664,1.96,0.3665865361690521,0.4801682829856872,0.11358174681663508,0.017016104339488615,0.03335156450539768,harp_esep,True,0.3506244122982025,0.4783861637115478,0.4783861637115478,0.4783861637115478,0.0
squirrel,6,1664,1.96,0.4002403914928436,0.4957932829856872,0.09555289149284363,0.01716069280155563,0.03363495789104903,harp_esep,True,0.3515850007534027,0.4610950946807861,0.4610950946807861,0.4610950946807861,0.0
squirrel,7,1664,1.96,0.3575721085071563,0.4831730723381042,0.12560096383094788,0.01697408853602527,0.03326921353060953,harp_esep,True,0.369836688041687,0.4639769494533539,0.4639769494533539,0.4639769494533539,0.0
squirrel,8,1664,1.96,0.3701923191547394,0.4663461446762085,0.09615382552146912,0.017019809301608322,0.033358826231152314,harp_esep,True,0.3477425575256347,0.444764643907547,0.444764643907547,0.444764643907547,0.0
squirrel,9,1664,1.96,0.3900240361690521,0.4675480723381042,0.07752403616905207,0.017104953169739784,0.03352570821268998,harp_esep,True,0.3477425575256347,0.4620557129383087,0.4620557129383087,0.4620557129383087,0.0
texas,0,59,1.96,0.9322034120559692,0.8305084705352783,-0.10169494152069092,0.05879645462498526,0.11524105106497111,harp,False,0.8918918967247009,0.7567567825317383,0.8918918967247009,0.8918918967247009,0.0
