dataset,model,seed,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss,best_epoch,elapsed_sec,meta_dataset_type,meta_source,meta_split_id,meta_make_undirected,meta_num_nodes,meta_num_edges,meta_edge_homophily,filter_weights,diag_gate_mean,diag_gate_std,diag_gate_q25,diag_gate_median,diag_gate_q75,diag_gate_gt_0_5,diag_gate_min,diag_gate_max,diag_gate_features,selector_z,selector_val_size,selector_val_diff,selector_standard_error,selector_threshold,selector_selected_model,selector_oracle_regret,diag_ego_norm,diag_residual_norm
amazon-ratings,harp_select,0,0.6801404356956482,0.455332338809967,0.4536991715431213,0.8231441974639893,1.368999481201172,1.35321307182312,230,207.59130191802976,heterophilous_graphs,amazon_ratings,0,True,24492,93050,0.3803761418592155,"{'low': [0.04633820056915283, 0.06194186583161354, 0.5012904405593872, 0.3904294967651367], 'high': [0.8887042999267578, 0.04833301156759262, 0.06296273320913315]}",0.4616475403308868,0.1415580362081527,0.3760533630847931,0.4518826305866241,0.4709873497486114,0.1560056656599044,0.2612192332744598,0.946254312992096,64.0,1.96,6123,0.006532758474350031,0.00900532922624606,0.017650445283442277,harp,0.004409611225128229,,
amazon-ratings,harp_select,1,0.6252654194831848,0.4639882445335388,0.4417769014835357,0.9216066598892212,1.3496891260147097,1.364380955696106,192,118.47828269004822,heterophilous_graphs,amazon_ratings,1,True,24492,93050,0.3803761418592155,"{'low': [0.0490819476544857, 0.062098998576402664, 0.5263796448707581, 0.3624393939971924], 'high': [0.8610106706619263, 0.06551551073789597, 0.07347388565540314]}",0.4452205598354339,0.103208489716053,0.3804044127464294,0.4430022239685058,0.4488039910793304,0.1081316098570823,0.304993987083435,0.9459840059280396,64.0,1.96,6123,0.004736244678497259,0.009015972868389928,0.01767130682204426,harp,0.018781661987304688,,
amazon-ratings,harp_select,2,0.5949698090553284,0.454189121723175,0.4505961239337921,0.9888184070587158,1.323026418685913,1.3304694890975952,180,113.78330969810486,heterophilous_graphs,amazon_ratings,2,True,24492,93050,0.3803761418592155,"{'low': [0.06234343722462654, 0.06575465202331543, 0.40416833758354187, 0.46773356199264526], 'high': [0.8612590432167053, 0.0646943598985672, 0.0740465372800827]}",0.4365639984607696,0.1276762336492538,0.3658881485462188,0.4247228801250458,0.4399946928024292,0.1601894199848175,0.2364873737096786,0.9711738228797911,64.0,1.96,6123,0.01012575626373291,0.009006031110191428,0.0176518209759752,harp,0.010942339897155762,,
amazon-ratings,harp_select,3,0.648783266544342,0.4569655358791351,0.4612118303775787,0.8592380881309509,1.3816479444503784,1.366068959236145,206,120.74852514266968,heterophilous_graphs,amazon_ratings,3,True,24492,93050,0.3803761418592155,"{'low': [0.05045470595359802, 0.07608509063720703, 0.43576571345329285, 0.4376945197582245], 'high': [0.8985479474067688, 0.048283860087394714, 0.05316830053925514]}",0.4399647414684295,0.097203105688095,0.3846866190433502,0.44285649061203,0.4577125012874603,0.0938137993216514,0.2621088325977325,0.8852169513702393,64.0,1.96,6123,-0.000816583633422796,0.009002377972713277,0.017644660826518024,harp,0.0,,
amazon-ratings,harp_select,4,0.7079862952232361,0.4817899763584137,0.4669279754161834,0.766217827796936,1.386624813079834,1.4019384384155271,232,118.69089102745056,heterophilous_graphs,amazon_ratings,4,True,24492,93050,0.3803761418592155,"{'low': [0.0484435111284256, 0.0859161987900734, 0.5224742889404297, 0.34316596388816833], 'high': [0.9050523638725281, 0.04456675052642822, 0.05038094148039818]}",0.4430880546569824,0.0809295028448104,0.3768894970417022,0.4598515927791595,0.472031682729721,0.1249451339244842,0.2933555543422699,0.8084255456924438,64.0,1.96,6123,-0.009145855903625488,0.009026790211060605,0.017692508813678783,harp,0.0,,
amazon-ratings,harp_select,5,0.6648701429367065,0.4636616110801697,0.455332338809967,0.8587369322776794,1.3585175275802612,1.3598781824111938,228,248.3047721385956,heterophilous_graphs,amazon_ratings,5,True,24492,93050,0.3803761418592155,"{'low': [0.04453263059258461, 0.07197140902280807, 0.406389445066452, 0.4771064519882202], 'high': [0.8971295356750488, 0.045493025332689285, 0.05737747997045517]}",0.4539303481578827,0.113184206187725,0.3833459019660949,0.4503176510334015,0.4697522222995758,0.0958348661661148,0.2443326413631439,0.9583608508110046,64.0,1.96,6123,0.0019598305225372314,0.009013913394915637,0.017667270254034646,harp,0.01012575626373291,,
amazon-ratings,harp_select,6,0.6608688831329346,0.4656214416027069,0.4582720994949341,0.847477912902832,1.3809024095535278,1.3751901388168335,238,228.06517267227173,heterophilous_graphs,amazon_ratings,6,True,24492,93050,0.3803761418592155,"{'low': [0.05430455878376961, 0.07146932184696198, 0.492254376411438, 0.3819718360900879], 'high': [0.8975645899772644, 0.04555368050932884, 0.05688181519508362]}",0.4690688252449035,0.1309549510478973,0.3986552655696869,0.4636555314064026,0.4746264219284057,0.1668637990951538,0.2013230472803115,0.9375702738761902,64.0,1.96,6123,0.0,0.009015168858564536,0.01766973096278649,harp,0.0,,
amazon-ratings,harp_select,7,0.6702596545219421,0.4574554860591888,0.4532092213630676,0.8278189301490784,1.3908621072769165,1.3879936933517456,214,210.83095622062683,heterophilous_graphs,amazon_ratings,7,True,24492,93050,0.3803761418592155,"{'low': [0.05974188074469566, 0.11391504853963852, 0.43303239345550537, 0.39331069588661194], 'high': [0.8997625112533569, 0.04519040882587433, 0.055047109723091125]}",0.4495884776115417,0.1210312992334365,0.372157335281372,0.4345303773880005,0.4622796177864074,0.1114943176507949,0.2797665297985077,0.9408056735992432,64.0,1.96,6123,-0.001306533813476507,0.009002758300753458,0.017645406269476777,harp,0.009962439537048284,,
amazon-ratings,harp_select,8,0.6616038084030151,0.4496161937713623,0.4465131461620331,0.8547459244728088,1.415722370147705,1.396443247795105,221,263.4677014350891,heterophilous_graphs,amazon_ratings,8,True,24492,93050,0.3803761418592155,"{'low': [0.05835340917110443, 0.10258907079696655, 0.44507697224617004, 0.39398056268692017], 'high': [0.9015156030654907, 0.04601740837097168, 0.05246702954173088]}",0.4500223398208618,0.0992609560489654,0.3999944627285003,0.4456976950168609,0.4666717648506164,0.109375,0.3004154562950134,0.88238924741745,64.0,1.96,6123,0.008165925741195679,0.00899742393892137,0.017634950920285886,harp,0.017475098371505737,,
amazon-ratings,harp_select,9,0.6550710201263428,0.4538624882698059,0.4556590020656585,0.8738733530044556,1.371067762374878,1.371418833732605,220,197.4075312614441,heterophilous_graphs,amazon_ratings,9,True,24492,93050,0.3803761418592155,"{'low': [0.053574465215206146, 0.08259483426809311, 0.3509562611579895, 0.5128744840621948], 'high': [0.8870223760604858, 0.04989326000213623, 0.06308429688215256]}",0.4465451240539551,0.1039286628365516,0.3964718282222748,0.4311901926994324,0.4660276770591736,0.1049781590700149,0.2240377515554428,0.9587280750274658,64.0,1.96,6123,0.011105656623840277,0.009006177667660797,0.01765210822861516,harp,0.002939730882644709,,
chameleon,harp_select,0,0.9972527623176576,0.6488339900970459,0.640350878238678,0.0109825609251856,1.4802875518798828,1.4501135349273682,250,28.500894784927368,geom_gcn,chameleon,0,True,2277,31371,0.2299257275827994,"{'low': [0.12485198676586151, 0.3762126564979553, 0.498935341835022], 'high': [0.057493433356285095, 0.9425065517425537]}",0.4015029668807983,0.1668176800012588,0.2848698198795318,0.3827911615371704,0.4986760020256042,0.2481129169464111,0.0016611432656645,0.9954788088798524,64.0,1.96,729,0.053497910499572754,0.02535778209781235,0.04970125291171221,harp_esep,0.0,1.451076865196228,0.5272287130355835
chameleon,harp_select,1,0.9963369965553284,0.6337448358535767,0.6820175647735596,0.0128757879137992,1.74382483959198,1.487541675567627,241,28.45919275283813,geom_gcn,chameleon,1,True,2277,31371,0.2299257275827994,"{'low': [0.0913182869553566, 0.40282803773880005, 0.5058535933494568], 'high': [0.05974620208144188, 0.9402537941932678]}",0.4158602952957153,0.1569040417671203,0.3090803623199463,0.4147062301635742,0.5012894868850708,0.2527517080307007,0.0092972805723547,0.9967003464698792,64.0,1.96,729,0.09602195024490356,0.02567842985169917,0.05032972250933037,harp_esep,0.0,1.471983551979065,0.5004920959472656
chameleon,harp_select,2,0.9972527623176576,0.6323730945587158,0.6162280440330505,0.0115827890112996,1.5732029676437378,1.6218127012252808,250,28.473309993743896,geom_gcn,chameleon,2,True,2277,31371,0.2299257275827994,"{'low': [0.10176520049571991, 0.3880830705165863, 0.510151743888855], 'high': [0.09462625533342361, 0.9053736925125122]}",0.3892872631549835,0.1583923250436782,0.2839301228523254,0.3784770965576172,0.4703516662120819,0.2001262605190277,0.0024978420697152,0.9945490956306458,64.0,1.96,729,0.054869651794433594,0.02556549941258453,0.05010837884866568,harp_esep,0.0,1.4111064672470093,0.4838855862617492
chameleon,harp_select,3,0.9972527623176576,0.6598079800605774,0.6425438523292542,0.0100827850401401,1.620229721069336,1.6328721046447754,192,28.41466426849365,geom_gcn,chameleon,3,True,2277,31371,0.2299257275827994,"{'low': [0.11865875869989395, 0.5599454045295715, 0.32139578461647034], 'high': [0.0789843499660492, 0.9210156798362732]}",0.401504784822464,0.1466115862131118,0.303594172000885,0.3895527124404907,0.4839187860488891,0.2215703278779983,0.0035582729615271,0.997334897518158,64.0,1.96,729,0.08641976118087769,0.025366330547207855,0.04971800787252739,harp_esep,0.0,1.3763542175292969,0.4825083613395691
chameleon,harp_select,4,0.9990842342376708,0.6255143880844116,0.6425438523292542,0.00910260155797,1.6954747438430786,1.5911295413970947,250,28.34710693359375,geom_gcn,chameleon,4,True,2277,31371,0.2299257275827994,"{'low': [0.13577866554260254, 0.46451038122177124, 0.3997109532356262], 'high': [0.06738830357789993, 0.9326117038726807]}",0.4179475605487823,0.1632650643587112,0.3138000965118408,0.4027591347694397,0.5134856700897217,0.2736124694347381,0.0036316206678748,0.9956058859825134,64.0,1.96,729,0.05898487567901611,0.025655199254403037,0.05028419053862995,harp_esep,0.0,1.4275336265563965,0.5113711953163147
