dataset,model,seed,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss,best_epoch,elapsed_sec,meta_dataset_type,meta_source,meta_num_nodes,meta_num_edges,meta_edge_homophily,filter_weights,diag_gate_mean,diag_gate_std,diag_gate_q25,diag_gate_median,diag_gate_q75,diag_gate_gt_0_5,diag_gate_min,diag_gate_max,diag_gate_features
pubmed,mlp,2,1.0,0.7279999852180481,0.7289999723434448,0.033213160932064056,0.6750166416168213,0.6796289086341858,147,15.706640243530273,planetoid,pubmed,19717,44324,0.8023869686851367,,,,,,,,,,
pubmed,gcn,2,0.3333333432674408,0.40400001406669617,0.40799999237060547,1.0986101627349854,1.0984090566635132,1.098383903503418,1,8.390934228897095,planetoid,pubmed,19717,44324,0.8023869686851367,,,,,,,,,,
pubmed,sgc,2,0.949999988079071,0.7919999957084656,0.7720000147819519,0.7951154112815857,0.9212616682052612,0.9238743185997009,253,30.58381199836731,planetoid,pubmed,19717,44324,0.8023869686851367,,,,,,,,,,
pubmed,appnp,2,0.3333333432674408,0.3880000114440918,0.4129999876022339,1.1096802949905396,1.1056426763534546,1.100427269935608,4,14.661123752593994,planetoid,pubmed,19717,44324,0.8023869686851367,,,,,,,,,,
pubmed,harp,2,0.9333333373069763,0.6899999976158142,0.6759999990463257,0.8849146366119385,1.0069843530654907,1.0056215524673462,4,28.625564336776733,planetoid,pubmed,19717,44324,0.8023869686851367,"{'low': [0.2547805607318878, 0.248505637049675, 0.24852503836154938, 0.2481888383626938], 'high': [0.3394211530685425, 0.33081528544425964, 0.32976359128952026]}",0.18545541167259216,0.004543458577245474,0.18200525641441345,0.18709853291511536,0.18872424960136414,0.0,0.17091189324855804,0.1949211210012436,64.0
pubmed,mlp,3,1.0,0.7319999933242798,0.7279999852180481,0.028351593762636185,0.6688476800918579,0.683693528175354,157,16.148147583007812,planetoid,pubmed,19717,44324,0.8023869686851367,,,,,,,,,,
pubmed,gcn,3,0.36666667461395264,0.42399999499320984,0.44999998807907104,1.0983538627624512,1.0983279943466187,1.098278522491455,1,8.563874244689941,planetoid,pubmed,19717,44324,0.8023869686851367,,,,,,,,,,
pubmed,sgc,3,0.949999988079071,0.7919999957084656,0.7680000066757202,0.7980899214744568,0.923111081123352,0.9256956577301025,240,35.20197415351868,planetoid,pubmed,19717,44324,0.8023869686851367,,,,,,,,,,
pubmed,appnp,3,0.3333333432674408,0.41600000858306885,0.40700000524520874,1.1033228635787964,1.086873173713684,1.0856436491012573,1,15.970186471939087,planetoid,pubmed,19717,44324,0.8023869686851367,,,,,,,,,,
pubmed,harp,3,0.8833333253860474,0.6579999923706055,0.6359999775886536,0.4715901017189026,0.85723477602005,0.8756338953971863,11,37.58517360687256,planetoid,pubmed,19717,44324,0.8023869686851367,"{'low': [0.29230961203575134, 0.2361815720796585, 0.23566049337387085, 0.23584826290607452], 'high': [0.3794974982738495, 0.3066159188747406, 0.31388652324676514]}",0.1875685304403305,0.008172602392733097,0.18119461834430695,0.1858939826488495,0.19359712302684784,0.0,0.1697029322385788,0.20460379123687744,64.0
pubmed,mlp,4,1.0,0.722000002861023,0.7260000109672546,0.05203244462609291,0.674832820892334,0.694345235824585,77,14.38094711303711,planetoid,pubmed,19717,44324,0.8023869686851367,,,,,,,,,,
pubmed,gcn,4,0.3333333432674408,0.3880000114440918,0.4129999876022339,1.1055976152420044,1.0861026048660278,1.0814906358718872,16,12.781049489974976,planetoid,pubmed,19717,44324,0.8023869686851367,,,,,,,,,,
pubmed,sgc,4,0.949999988079071,0.7919999957084656,0.7720000147819519,0.7952196598052979,0.9214690923690796,0.9240454435348511,252,41.45318961143494,planetoid,pubmed,19717,44324,0.8023869686851367,,,,,,,,,,
pubmed,appnp,4,0.3333333432674408,0.3880000114440918,0.4129999876022339,1.09975266456604,1.0981512069702148,1.0948694944381714,4,16.250781059265137,planetoid,pubmed,19717,44324,0.8023869686851367,,,,,,,,,,
pubmed,harp,4,1.0,0.6439999938011169,0.6079999804496765,0.00802042055875063,1.4406028985977173,1.5982252359390259,72,57.9818902015686,planetoid,pubmed,19717,44324,0.8023869686851367,"{'low': [0.5583964586257935, 0.14198920130729675, 0.1497041881084442, 0.14991016685962677], 'high': [0.43764716386795044, 0.332223117351532, 0.23012971878051758]}",0.25695207715034485,0.06511390209197998,0.21756650507450104,0.26763030886650085,0.3000270128250122,0.0012972624972462654,0.07361828535795212,0.628733217716217,64.0
