dataset,model,seed,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss,best_epoch,elapsed_sec,meta_dataset_type,meta_source,meta_split_id,meta_make_undirected,meta_num_nodes,meta_num_edges,meta_edge_homophily,filter_weights
texas,harp_scalar_no_signal,5,1.0,0.9152542352676392,0.7297297120094299,0.025579683482646942,0.4238889515399933,0.7642053365707397,15,2.5790088176727295,geom_gcn,texas,5,True,183,279,0.06093189964157706,"{'low': [0.2544898986816406, 0.2669042646884918, 0.23982015252113342, 0.23878571391105652], 'high': [0.37735337018966675, 0.30454710125923157, 0.3180995583534241]}"
texas,mixhop,6,1.0,0.8813559412956238,0.9189189076423645,0.0006483048782683909,0.6239122152328491,0.3420984148979187,105,2.6151108741760254,geom_gcn,texas,6,True,183,279,0.06093189964157706,
texas,harp,6,1.0,0.8644067645072937,0.9189189076423645,0.01173753198236227,0.523939847946167,0.27531158924102783,23,2.8695483207702637,geom_gcn,texas,6,True,183,279,0.06093189964157706,"{'low': [0.28911498188972473, 0.2456975132226944, 0.2325575351715088, 0.2326299399137497], 'high': [0.41334325075149536, 0.2994013726711273, 0.2872554063796997]}"
texas,harp_no_signal,6,1.0,0.8644067645072937,0.9189189076423645,0.009640229865908623,0.5305218696594238,0.27344146370887756,24,2.97961688041687,geom_gcn,texas,6,True,183,279,0.06093189964157706,"{'low': [0.2902405261993408, 0.2456570863723755, 0.23194904625415802, 0.23215341567993164], 'high': [0.41589224338531494, 0.29809948801994324, 0.2860083281993866]}"
texas,harp_scalar_gate,6,0.9885057210922241,0.8305084705352783,0.8648648858070374,0.057339321821928024,0.6261203289031982,0.3678878843784332,10,2.6081554889678955,geom_gcn,texas,6,True,183,279,0.06093189964157706,"{'low': [0.26369136571884155, 0.2463323324918747, 0.24655887484550476, 0.24341744184494019], 'high': [0.3569267988204956, 0.3183951675891876, 0.3246780037879944]}"
texas,harp_scalar_no_signal,6,0.9885057210922241,0.8305084705352783,0.8918918967247009,0.05855727940797806,0.6233308911323547,0.3578088581562042,10,2.4177498817443848,geom_gcn,texas,6,True,183,279,0.06093189964157706,"{'low': [0.26401516795158386, 0.24619336426258087, 0.24647068977355957, 0.2433207482099533], 'high': [0.3570147454738617, 0.31852853298187256, 0.32445669174194336]}"
texas,mixhop,7,1.0,0.9322034120559692,0.7837837934494019,8.353948942385614e-05,0.3577175736427307,1.0179976224899292,37,1.765442132949829,geom_gcn,texas,7,True,183,279,0.06093189964157706,
texas,harp,7,1.0,0.8644067645072937,0.7837837934494019,0.020577343180775642,0.5306443572044373,0.5938776135444641,17,2.787602663040161,geom_gcn,texas,7,True,183,279,0.06093189964157706,"{'low': [0.2839416265487671, 0.2686919867992401, 0.22431448101997375, 0.22305192053318024], 'high': [0.39164090156555176, 0.30164000391960144, 0.3067191243171692]}"
texas,harp_no_signal,7,1.0,0.8644067645072937,0.7837837934494019,0.01994415745139122,0.5200923085212708,0.5736315846443176,17,2.709301233291626,geom_gcn,texas,7,True,183,279,0.06093189964157706,"{'low': [0.2836487889289856, 0.2688950300216675, 0.22437505424022675, 0.22308117151260376], 'high': [0.3915635347366333, 0.30174243450164795, 0.30669403076171875]}"
texas,harp_scalar_gate,7,1.0,0.8813559412956238,0.7027027010917664,0.08323962986469269,0.42112594842910767,0.6795228719711304,9,2.472346544265747,geom_gcn,texas,7,True,183,279,0.06093189964157706,"{'low': [0.27303773164749146, 0.25851887464523315, 0.23418384790420532, 0.23425957560539246], 'high': [0.35842761397361755, 0.31558850407600403, 0.3259839117527008]}"
