dataset,model,seed,train_acc,val_acc,test_acc,metric_name,train_metric,val_metric,test_metric,train_loss,val_loss,test_loss,best_epoch,elapsed_sec,meta_dataset_type,meta_source,meta_split_id,meta_make_undirected,meta_num_nodes,meta_num_edges,meta_edge_homophily
roman-empire,gcn,5,0.4383549690246582,0.41853487491607666,0.4140487015247345,accuracy,0.4383549690246582,0.41853487491607666,0.4140487015247345,1.7263389825820923,1.782030701637268,1.767152190208435,234,31.29141640663147,heterophilous_graphs,roman_empire,5,True,22662,32927,0.04689160871017706
roman-empire,sgc,5,0.37145882844924927,0.3586937189102173,0.3635721802711487,accuracy,0.37145882844924927,0.3586937189102173,0.3635721802711487,1.994025468826294,2.0229969024658203,2.0088908672332764,249,8.07042384147644,heterophilous_graphs,roman_empire,5,True,22662,32927,0.04689160871017706
roman-empire,appnp,5,0.5051628351211548,0.4864960312843323,0.4924108684062958,accuracy,0.5051628351211548,0.4864960312843323,0.4924108684062958,1.6368719339370728,1.6715642213821411,1.6557191610336304,243,56.517754554748535,heterophilous_graphs,roman_empire,5,True,22662,32927,0.04689160871017706
roman-empire,mixhop,5,0.8271114826202393,0.7784642577171326,0.7823861837387085,accuracy,0.8271114826202393,0.7784642577171326,0.7823861837387085,0.5663800239562988,0.7255703210830688,0.6803812980651855,244,51.941975355148315,heterophilous_graphs,roman_empire,5,True,22662,32927,0.04689160871017706
roman-empire,gprgnn,5,0.7159121036529541,0.6977934837341309,0.6976703405380249,accuracy,0.7159121036529541,0.6977934837341309,0.6976703405380249,0.9434529542922974,1.0173507928848267,0.9910781383514404,248,55.58612275123596,heterophilous_graphs,roman_empire,5,True,22662,32927,0.04689160871017706
roman-empire,h2gcn,5,0.8069013953208923,0.7837599515914917,0.7889163494110107,accuracy,0.8069013953208923,0.7837599515914917,0.7889163494110107,0.6154013872146606,0.6877197623252869,0.6531492471694946,248,79.86755633354187,heterophilous_graphs,roman_empire,5,True,22662,32927,0.04689160871017706
roman-empire,linkx,5,0.7070867419242859,0.5977051854133606,0.5901870727539062,accuracy,0.7070867419242859,0.5977051854133606,0.5901870727539062,0.9014694094657898,1.3082640171051025,1.3003216981887817,53,19.133767127990723,heterophilous_graphs,roman_empire,5,True,22662,32927,0.04689160871017706
roman-empire,mlp,6,0.6589003801345825,0.6464254260063171,0.6461348533630371,accuracy,0.6589003801345825,0.6464254260063171,0.6461348533630371,1.0596274137496948,1.1207541227340698,1.1152194738388062,240,22.933271646499634,heterophilous_graphs,roman_empire,6,True,22662,32927,0.04689160871017706
roman-empire,gcn,6,0.43606036901474,0.41553398966789246,0.4152841567993164,accuracy,0.43606036901474,0.41553398966789246,0.4152841567993164,1.7224432229995728,1.7758392095565796,1.777593970298767,249,31.406679391860962,heterophilous_graphs,roman_empire,6,True,22662,32927,0.04689160871017706
roman-empire,sgc,6,0.3681052029132843,0.35533979535102844,0.35933640599250793,accuracy,0.3681052029132843,0.35533979535102844,0.35933640599250793,1.9936442375183105,2.018277883529663,2.0190205574035645,250,8.699167251586914,heterophilous_graphs,roman_empire,6,True,22662,32927,0.04689160871017706
roman-empire,appnp,6,0.5048980712890625,0.49496909976005554,0.5008824467658997,accuracy,0.5048980712890625,0.49496909976005554,0.5008824467658997,1.6345418691635132,1.6656709909439087,1.6581884622573853,231,55.93248176574707,heterophilous_graphs,roman_empire,6,True,22662,32927,0.04689160871017706
roman-empire,mixhop,6,0.8320536613464355,0.777228593826294,0.7682668566703796,accuracy,0.8320536613464355,0.777228593826294,0.7682668566703796,0.55609130859375,0.7096694111824036,0.7099542021751404,248,48.74035906791687,heterophilous_graphs,roman_empire,6,True,22662,32927,0.04689160871017706
roman-empire,gprgnn,6,0.7169711589813232,0.6965578198432922,0.690787136554718,accuracy,0.7169711589813232,0.6965578198432922,0.690787136554718,0.9367680549621582,1.0115127563476562,1.0065866708755493,250,59.04910230636597,heterophilous_graphs,roman_empire,6,True,22662,32927,0.04689160871017706
roman-empire,h2gcn,6,0.8045185804367065,0.7774051427841187,0.7785033583641052,accuracy,0.8045185804367065,0.7774051427841187,0.7785033583641052,0.6090644001960754,0.6797953844070435,0.6777783036231995,243,76.07409763336182,heterophilous_graphs,roman_empire,6,True,22662,32927,0.04689160871017706
roman-empire,linkx,6,0.6729326844215393,0.6102383136749268,0.6051888465881348,accuracy,0.6729326844215393,0.6102383136749268,0.6051888465881348,1.0447858572006226,1.2521729469299316,1.2460325956344604,49,19.859453439712524,heterophilous_graphs,roman_empire,6,True,22662,32927,0.04689160871017706
roman-empire,mlp,7,0.6634895205497742,0.64377760887146,0.6454288959503174,accuracy,0.6634895205497742,0.64377760887146,0.6454288959503174,1.065891146659851,1.1355935335159302,1.1265144348144531,189,25.45233654975891,heterophilous_graphs,roman_empire,7,True,22662,32927,0.04689160871017706
roman-empire,gcn,7,0.43570736050605774,0.42153576016426086,0.4265795946121216,accuracy,0.43570736050605774,0.42153576016426086,0.4265795946121216,1.7202520370483398,1.7753291130065918,1.7729754447937012,246,31.108705282211304,heterophilous_graphs,roman_empire,7,True,22662,32927,0.04689160871017706
roman-empire,sgc,7,0.3693407475948334,0.3625772297382355,0.36392515897750854,accuracy,0.3693407475948334,0.3625772297382355,0.36392515897750854,1.9937138557434082,2.0130696296691895,2.013184070587158,250,7.556838035583496,heterophilous_graphs,roman_empire,7,True,22662,32927,0.04689160871017706
roman-empire,appnp,7,0.5063101053237915,0.4986760914325714,0.49858805537223816,accuracy,0.5063101053237915,0.4986760914325714,0.49858805537223816,1.6213114261627197,1.6547311544418335,1.6611988544464111,228,56.07558035850525,heterophilous_graphs,roman_empire,7,True,22662,32927,0.04689160871017706
roman-empire,mixhop,7,0.8302885890007019,0.767166793346405,0.7696787714958191,accuracy,0.8302885890007019,0.767166793346405,0.7696787714958191,0.5534518957138062,0.7203202843666077,0.7108235359191895,237,48.87442946434021,heterophilous_graphs,roman_empire,7,True,22662,32927,0.04689160871017706
roman-empire,gprgnn,7,0.7178536653518677,0.6902030110359192,0.6943169832229614,accuracy,0.7178536653518677,0.6902030110359192,0.6943169832229614,0.9424780607223511,1.018429160118103,1.0171083211898804,242,59.41219210624695,heterophilous_graphs,roman_empire,7,True,22662,32927,0.04689160871017706
roman-empire,h2gcn,7,0.8075191974639893,0.7802295088768005,0.7807977199554443,accuracy,0.8075191974639893,0.7802295088768005,0.7807977199554443,0.6055579781532288,0.6904241442680359,0.6835587024688721,249,77.54035639762878,heterophilous_graphs,roman_empire,7,True,22662,32927,0.04689160871017706
roman-empire,linkx,7,0.7235901355743408,0.6017652153968811,0.6083657145500183,accuracy,0.7235901355743408,0.6017652153968811,0.6083657145500183,0.9023681282997131,1.2626677751541138,1.2605130672454834,61,22.483996152877808,heterophilous_graphs,roman_empire,7,True,22662,32927,0.04689160871017706
roman-empire,mlp,8,0.6606654524803162,0.6511915326118469,0.6507236361503601,accuracy,0.6606654524803162,0.6511915326118469,0.6507236361503601,1.0568938255310059,1.1188914775848389,1.1110377311706543,225,23.020363330841064,heterophilous_graphs,roman_empire,8,True,22662,32927,0.04689160871017706
roman-empire,gcn,8,0.4336775243282318,0.4236540198326111,0.4048711657524109,accuracy,0.4336775243282318,0.4236540198326111,0.4048711657524109,1.7141151428222656,1.7692811489105225,1.781954288482666,250,31.68322992324829,heterophilous_graphs,roman_empire,8,True,22662,32927,0.04689160871017706
roman-empire,sgc,8,0.3703998029232025,0.36540159583091736,0.353512167930603,accuracy,0.3703998029232025,0.36540159583091736,0.353512167930603,1.9885070323944092,2.015242576599121,2.020690679550171,249,8.016968011856079,heterophilous_graphs,roman_empire,8,True,22662,32927,0.04689160871017706
roman-empire,appnp,8,0.5116053223609924,0.4984995722770691,0.4959406852722168,accuracy,0.5116053223609924,0.4984995722770691,0.4959406852722168,1.625596284866333,1.6595611572265625,1.6698564291000366,239,57.7623872756958,heterophilous_graphs,roman_empire,8,True,22662,32927,0.04689160871017706
roman-empire,mixhop,8,0.8288765549659729,0.77634596824646,0.7714437246322632,accuracy,0.8288765549659729,0.77634596824646,0.7714437246322632,0.5642178654670715,0.7063877582550049,0.7022050023078918,236,52.138591051101685,heterophilous_graphs,roman_empire,8,True,22662,32927,0.04689160871017706
roman-empire,gprgnn,8,0.7230606079101562,0.694969117641449,0.6959053874015808,accuracy,0.7230606079101562,0.694969117641449,0.6959053874015808,0.9358048439025879,1.0111522674560547,1.0114175081253052,247,61.455559730529785,heterophilous_graphs,roman_empire,8,True,22662,32927,0.04689160871017706
roman-empire,h2gcn,8,0.8020474910736084,0.7724624872207642,0.7693257927894592,accuracy,0.8020474910736084,0.7724624872207642,0.7693257927894592,0.630064845085144,0.6948103308677673,0.6967194080352783,249,78.81724572181702,heterophilous_graphs,roman_empire,8,True,22662,32927,0.04689160871017706
roman-empire,linkx,8,0.6991439461708069,0.605472207069397,0.6034239530563354,accuracy,0.6991439461708069,0.605472207069397,0.6034239530563354,0.9916921257972717,1.27242112159729,1.2631101608276367,50,19.235174655914307,heterophilous_graphs,roman_empire,8,True,22662,32927,0.04689160871017706
roman-empire,mlp,9,0.6627835035324097,0.6458958387374878,0.6337804198265076,accuracy,0.6627835035324097,0.6458958387374878,0.6337804198265076,1.0568698644638062,1.1251193284988403,1.1322851181030273,230,19.197695016860962,heterophilous_graphs,roman_empire,9,True,22662,32927,0.04689160871017706
roman-empire,gcn,9,0.4386197030544281,0.40776699781417847,0.42181432247161865,accuracy,0.4386197030544281,0.40776699781417847,0.42181432247161865,1.720616102218628,1.7891883850097656,1.779816746711731,229,21.78701686859131,heterophilous_graphs,roman_empire,9,True,22662,32927,0.04689160871017706
roman-empire,sgc,9,0.37357690930366516,0.3567519783973694,0.36216026544570923,accuracy,0.37357690930366516,0.3567519783973694,0.36216026544570923,1.9909896850585938,2.0211410522460938,2.018775463104248,245,5.459875106811523,heterophilous_graphs,roman_empire,9,True,22662,32927,0.04689160871017706
roman-empire,appnp,9,0.5106345415115356,0.48631951212882996,0.4982350766658783,accuracy,0.5106345415115356,0.48631951212882996,0.4982350766658783,1.6030700206756592,1.65814208984375,1.6505213975906372,248,41.43205118179321,heterophilous_graphs,roman_empire,9,True,22662,32927,0.04689160871017706
roman-empire,mixhop,9,0.834171712398529,0.7731685638427734,0.7668549418449402,accuracy,0.834171712398529,0.7731685638427734,0.7668549418449402,0.5503169894218445,0.7112296223640442,0.7207971215248108,246,33.79682207107544,heterophilous_graphs,roman_empire,9,True,22662,32927,0.04689160871017706
roman-empire,gprgnn,9,0.7217368483543396,0.6967343091964722,0.692728579044342,accuracy,0.7217368483543396,0.6967343091964722,0.692728579044342,0.9303944110870361,1.0207453966140747,1.0231207609176636,237,40.67951965332031,heterophilous_graphs,roman_empire,9,True,22662,32927,0.04689160871017706
roman-empire,h2gcn,9,0.8051363229751587,0.7818182110786438,0.7723261713981628,accuracy,0.8051363229751587,0.7818182110786438,0.7723261713981628,0.6148790121078491,0.6793707013130188,0.7014358043670654,236,55.6532199382782,heterophilous_graphs,roman_empire,9,True,22662,32927,0.04689160871017706
roman-empire,linkx,9,0.7285323739051819,0.6086496114730835,0.6027179956436157,accuracy,0.7285323739051819,0.6086496114730835,0.6027179956436157,0.8413702845573425,1.273665428161621,1.2680977582931519,69,14.061707258224487,heterophilous_graphs,roman_empire,9,True,22662,32927,0.04689160871017706
amazon-ratings,mlp,0,0.41760575771331787,0.3949044644832611,0.38820838928222656,accuracy,0.41760575771331787,0.3949044644832611,0.38820838928222656,1.3454203605651855,1.3762612342834473,1.3755379915237427,209,16.885440349578857,heterophilous_graphs,amazon_ratings,0,True,24492,93050,0.3803761418592155
amazon-ratings,gcn,0,0.4470847547054291,0.43230441212654114,0.43050792813301086,accuracy,0.4470847547054291,0.43230441212654114,0.43050792813301086,1.2969801425933838,1.3262194395065308,1.323276400566101,230,41.154234409332275,heterophilous_graphs,amazon_ratings,0,True,24492,93050,0.3803761418592155
amazon-ratings,sgc,0,0.392128050327301,0.3939245343208313,0.38722848892211914,accuracy,0.392128050327301,0.3939245343208313,0.38722848892211914,1.3690791130065918,1.3753997087478638,1.374687910079956,81,4.198527574539185,heterophilous_graphs,amazon_ratings,0,True,24492,93050,0.3803761418592155
amazon-ratings,appnp,0,0.4355708062648773,0.42642495036125183,0.4218520224094391,accuracy,0.4355708062648773,0.42642495036125183,0.4218520224094391,1.309831976890564,1.3328711986541748,1.3300178050994873,231,76.86774778366089,heterophilous_graphs,amazon_ratings,0,True,24492,93050,0.3803761418592155
amazon-ratings,mixhop,0,0.5142087340354919,0.43442755937576294,0.43818390369415283,accuracy,0.5142087340354919,0.43442755937576294,0.43818390369415283,1.1983213424682617,1.3156070709228516,1.3080987930297852,223,49.55999827384949,heterophilous_graphs,amazon_ratings,0,True,24492,93050,0.3803761418592155
amazon-ratings,gprgnn,0,0.45574066042900085,0.4341009259223938,0.4376939535140991,accuracy,0.45574066042900085,0.4341009259223938,0.4376939535140991,1.2768173217773438,1.316636085510254,1.3111716508865356,126,55.685540437698364,heterophilous_graphs,amazon_ratings,0,True,24492,93050,0.3803761418592155
amazon-ratings,h2gcn,0,0.47501224279403687,0.438510537147522,0.44732972979545593,accuracy,0.47501224279403687,0.438510537147522,0.44732972979545593,1.2056149244308472,1.2820067405700684,1.269035816192627,196,115.18345522880554,heterophilous_graphs,amazon_ratings,0,True,24492,93050,0.3803761418592155
amazon-ratings,linkx,0,0.9216887354850769,0.4674179255962372,0.46545809507369995,accuracy,0.9216887354850769,0.4674179255962372,0.46545809507369995,0.30570781230926514,1.9986754655838013,1.979166030883789,167,33.71554970741272,heterophilous_graphs,amazon_ratings,0,True,24492,93050,0.3803761418592155
amazon-ratings,mlp,1,0.4062550961971283,0.38608524203300476,0.3857586085796356,accuracy,0.4062550961971283,0.38608524203300476,0.3857586085796356,1.361679196357727,1.38158118724823,1.3819066286087036,97,10.138130187988281,heterophilous_graphs,amazon_ratings,1,True,24492,93050,0.3803761418592155
amazon-ratings,gcn,1,0.4485546350479126,0.42789483070373535,0.4282214641571045,accuracy,0.4485546350479126,0.42789483070373535,0.4282214641571045,1.2988827228546143,1.3256582021713257,1.3218740224838257,238,30.755728483200073,heterophilous_graphs,amazon_ratings,1,True,24492,93050,0.3803761418592155
amazon-ratings,sgc,1,0.37971583008766174,0.3826555609703064,0.3777559995651245,accuracy,0.37971583008766174,0.3826555609703064,0.3777559995651245,1.4781259298324585,1.4784009456634521,1.4782358407974243,6,1.2743258476257324,heterophilous_graphs,amazon_ratings,1,True,24492,93050,0.3803761418592155
amazon-ratings,appnp,1,0.43704065680503845,0.4238118529319763,0.4221786558628082,accuracy,0.43704065680503845,0.4238118529319763,0.4221786558628082,1.3162723779678345,1.3360775709152222,1.3305608034133911,236,52.468379735946655,heterophilous_graphs,amazon_ratings,1,True,24492,93050,0.3803761418592155
amazon-ratings,mixhop,1,0.5335620045661926,0.44455331563949585,0.44079700112342834,accuracy,0.5335620045661926,0.44455331563949585,0.44079700112342834,1.1808383464813232,1.3108447790145874,1.3080378770828247,249,34.85777926445007,heterophilous_graphs,amazon_ratings,1,True,24492,93050,0.3803761418592155
amazon-ratings,gprgnn,1,0.4780336320400238,0.4411236345767975,0.4435734152793884,accuracy,0.4780336320400238,0.4411236345767975,0.4435734152793884,1.251075267791748,1.307833194732666,1.2989375591278076,233,66.5091941356659,heterophilous_graphs,amazon_ratings,1,True,24492,93050,0.3803761418592155
amazon-ratings,h2gcn,1,0.5004082918167114,0.4550057053565979,0.44830965995788574,accuracy,0.5004082918167114,0.4550057053565979,0.44830965995788574,1.1901683807373047,1.2671657800674438,1.2634185552597046,229,128.92137384414673,heterophilous_graphs,amazon_ratings,1,True,24492,93050,0.3803761418592155
