dataset,model,seed,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss,best_epoch,elapsed_sec,meta_dataset_type,meta_source,meta_split_id,meta_make_undirected,meta_num_nodes,meta_num_edges,meta_edge_homophily,filter_weights
texas,harp_low,3,0.977011501789093,0.6779661178588867,0.5135135054588318,0.08416478335857391,1.1688165664672852,1.6765031814575195,35,1.5636048316955566,geom_gcn,texas,3,True,183,279,0.06093189964157706,"{'low': [0.3737908899784088, 0.20926976203918457, 0.20922251045703888, 0.20771673321723938], 'high': [0.3333333432674408, 0.3333333432674408, 0.3333333432674408]}"
texas,harp_high,3,1.0,0.8474576473236084,0.8918918967247009,0.00046063330955803394,0.8914596438407898,0.7503435015678406,61,1.8231287002563477,geom_gcn,texas,3,True,183,279,0.06093189964157706,"{'low': [0.25, 0.25, 0.25, 0.25], 'high': [0.37199240922927856, 0.27360427379608154, 0.3544033467769623]}"
texas,harp_no_signal,3,1.0,0.9152542352676392,0.837837815284729,0.001417039311490953,0.22811943292617798,0.3885069191455841,49,2.070171356201172,geom_gcn,texas,3,True,183,279,0.06093189964157706,"{'low': [0.28674355149269104, 0.2723245322704315, 0.22049762308597565, 0.2204342633485794], 'high': [0.4967781603336334, 0.24796436727046967, 0.2552575469017029]}"
texas,mixhop,4,1.0,0.9322034120559692,0.9189189076423645,0.0005054285284131765,0.2147241085767746,0.4785327911376953,152,1.9565370082855225,geom_gcn,texas,4,True,183,279,0.06093189964157706,
texas,harp,4,1.0,0.9491525292396545,0.9189189076423645,0.0009965605568140745,0.1969630867242813,0.32593271136283875,44,1.9158642292022705,geom_gcn,texas,4,True,183,279,0.06093189964157706,"{'low': [0.281917005777359, 0.2842710018157959, 0.220000758767128, 0.21381117403507233], 'high': [0.4690893292427063, 0.2654087245464325, 0.2655019164085388]}"
texas,harp_low,4,0.7931034564971924,0.7288135886192322,0.6486486196517944,0.9918203353881836,1.1917393207550049,1.1510627269744873,3,1.0648658275604248,geom_gcn,texas,4,True,183,279,0.06093189964157706,"{'low': [0.24889323115348816, 0.24689406156539917, 0.25264856219291687, 0.2515642046928406], 'high': [0.3333333432674408, 0.3333333432674408, 0.3333333432674408]}"
texas,harp_high,4,1.0,0.9491525292396545,0.8918918967247009,0.0004793594416696578,0.2898060977458954,0.38076791167259216,50,2.0641872882843018,geom_gcn,texas,4,True,183,279,0.06093189964157706,"{'low': [0.25, 0.25, 0.25, 0.25], 'high': [0.3720945417881012, 0.26654350757598877, 0.36136192083358765]}"
texas,harp_no_signal,4,1.0,0.9661017060279846,0.837837815284729,0.00023308341042138636,0.2616538107395172,0.38995322585105896,137,4.42038631439209,geom_gcn,texas,4,True,183,279,0.06093189964157706,"{'low': [0.2928892970085144, 0.28188592195510864, 0.21479679644107819, 0.21042796969413757], 'high': [0.5522802472114563, 0.22455208003520966, 0.22316765785217285]}"
texas,mixhop,5,1.0,0.9491525292396545,0.8108108043670654,0.0003601703210733831,0.3337082862854004,0.3947609066963196,159,2.188436985015869,geom_gcn,texas,5,True,183,279,0.06093189964157706,
texas,harp,5,1.0,0.9491525292396545,0.837837815284729,0.0005725158262066543,0.24397067725658417,0.3281179666519165,84,3.0971603393554688,geom_gcn,texas,5,True,183,279,0.06093189964157706,"{'low': [0.29442036151885986, 0.30644920468330383, 0.19972528517246246, 0.19940517842769623], 'high': [0.525847315788269, 0.2441563904285431, 0.2299962341785431]}"
