best_epoch,dataset,elapsed_sec,meta_dataset_type,meta_edge_homophily,meta_make_undirected,meta_num_edges,meta_num_nodes,meta_source,meta_split_id,model,seed,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
192,amazon-ratings,118.47828269004822,heterophilous_graphs,0.3803761418592155,True,93050,24492,amazon_ratings,1,harp_select,1,0.4417769014835357,1.364380955696106,0.6252654194831848,0.9216066598892212,0.4639882445335388,1.3496891260147097
180,amazon-ratings,113.78330969810486,heterophilous_graphs,0.3803761418592155,True,93050,24492,amazon_ratings,2,harp_select,2,0.4505961239337921,1.3304694890975952,0.5949698090553284,0.9888184070587158,0.454189121723175,1.323026418685913
206,amazon-ratings,120.74852514266968,heterophilous_graphs,0.3803761418592155,True,93050,24492,amazon_ratings,3,harp_select,3,0.4612118303775787,1.366068959236145,0.648783266544342,0.8592380881309509,0.4569655358791351,1.3816479444503784
232,amazon-ratings,118.69089102745056,heterophilous_graphs,0.3803761418592155,True,93050,24492,amazon_ratings,4,harp_select,4,0.4669279754161834,1.4019384384155271,0.7079862952232361,0.766217827796936,0.4817899763584137,1.386624813079834
228,amazon-ratings,248.3047721385956,heterophilous_graphs,0.3803761418592155,True,93050,24492,amazon_ratings,5,harp_select,5,0.455332338809967,1.3598781824111938,0.6648701429367065,0.8587369322776794,0.4636616110801697,1.3585175275802612
238,amazon-ratings,228.06517267227173,heterophilous_graphs,0.3803761418592155,True,93050,24492,amazon_ratings,6,harp_select,6,0.4582720994949341,1.3751901388168335,0.6608688831329346,0.847477912902832,0.4656214416027069,1.3809024095535278
214,amazon-ratings,210.83095622062683,heterophilous_graphs,0.3803761418592155,True,93050,24492,amazon_ratings,7,harp_select,7,0.4532092213630676,1.3879936933517456,0.6702596545219421,0.8278189301490784,0.4574554860591888,1.3908621072769165
221,amazon-ratings,263.4677014350891,heterophilous_graphs,0.3803761418592155,True,93050,24492,amazon_ratings,8,harp_select,8,0.4465131461620331,1.396443247795105,0.6616038084030151,0.8547459244728088,0.4496161937713623,1.415722370147705
220,amazon-ratings,197.4075312614441,heterophilous_graphs,0.3803761418592155,True,93050,24492,amazon_ratings,9,harp_select,9,0.4556590020656585,1.371418833732605,0.6550710201263428,0.8738733530044556,0.4538624882698059,1.371067762374878
167,amazon-ratings,33.71554970741272,heterophilous_graphs,0.3803761418592155,True,93050,24492,amazon_ratings,0,linkx,0,0.4654580950736999,1.979166030883789,0.9216887354850768,0.3057078123092651,0.4674179255962372,1.9986754655838013
98,amazon-ratings,34.51550221443176,heterophilous_graphs,0.3803761418592155,True,93050,24492,amazon_ratings,1,linkx,1,0.4550057053565979,1.7240145206451416,0.7846643924713135,0.6608139276504517,0.4517393410205841,1.813277244567871
