dataset,model,seed,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss,best_epoch,elapsed_sec,meta_dataset_type,meta_source,meta_split_id,meta_make_undirected,meta_num_nodes,meta_num_edges,meta_edge_homophily,filter_weights,diag_gate_mean,diag_gate_std,diag_gate_q25,diag_gate_median,diag_gate_q75,diag_gate_gt_0_5,diag_gate_min,diag_gate_max,diag_gate_features,diag_ego_norm,diag_residual_norm
chameleon,harp,6,0.9441391825675964,0.5898491144180298,0.5263158082962036,0.2095711380243301,1.3318769931793213,1.4145731925964355,15,19.066649675369263,geom_gcn,chameleon,6,True,2277,31371,0.2299257275827994,"{'low': [0.2864992320537567, 0.2481376826763153, 0.23318974673748016, 0.23217341303825378], 'high': [0.39955660700798035, 0.29829150438308716, 0.3021519184112549]}",0.3804863095283508,0.1962377727031707,0.2406897842884063,0.3094109296798706,0.4531015157699585,0.2089028805494308,0.0212890822440385,0.9997166991233826,64.0,,
chameleon,mlp,7,0.9267399311065674,0.5116598010063171,0.530701756477356,0.2247672379016876,1.437652826309204,1.2988792657852173,242,15.930960416793823,geom_gcn,chameleon,7,True,2277,31371,0.2299257275827994,,,,,,,,,,,,
chameleon,gcn,7,0.778388261795044,0.6255143880844116,0.6052631735801697,0.6864667534828186,1.190729022026062,1.1089987754821775,144,17.3670015335083,geom_gcn,chameleon,7,True,2277,31371,0.2299257275827994,,,,,,,,,,,,
chameleon,sgc,7,0.6529303789138794,0.5390946269035339,0.515350878238678,1.0497695207595823,1.2214584350585938,1.2185947895050049,141,87.95001435279846,geom_gcn,chameleon,7,True,2277,31371,0.2299257275827994,,,,,,,,,,,,
chameleon,appnp,7,0.8232600688934326,0.5377228856086731,0.5065789222717285,0.6573876142501831,1.272099256515503,1.193099021911621,108,22.705350160598755,geom_gcn,chameleon,7,True,2277,31371,0.2299257275827994,,,,,,,,,,,,
chameleon,mixhop,7,0.8873626589775085,0.5514403581619263,0.5328947305679321,0.4589971005916595,1.1486331224441528,1.1145622730255127,13,40.81785774230957,geom_gcn,chameleon,7,True,2277,31371,0.2299257275827994,,,,,,,,,,,,
chameleon,gprgnn,7,0.9725274443626404,0.6255143880844116,0.6271929740905762,0.1363937854766845,1.3699110746383667,1.120743989944458,169,30.944099187850952,geom_gcn,chameleon,7,True,2277,31371,0.2299257275827994,,,,,,,,,,,,
chameleon,h2gcn,7,0.9816849827766418,0.6625514626502991,0.6469298005104065,0.0696528330445289,1.1702100038528442,1.0500084161758425,249,32.87262344360352,geom_gcn,chameleon,7,True,2277,31371,0.2299257275827994,,,,,,,,,,,,
chameleon,linkx,7,1.0,0.5857338905334473,0.5964912176132202,0.0167287979274988,1.5354129076004028,1.3635801076889038,101,13.32874345779419,geom_gcn,chameleon,7,True,2277,31371,0.2299257275827994,,,,,,,,,,,,
chameleon,harp,7,0.9899267554283142,0.547325074672699,0.5482456088066101,0.0452000722289085,2.053618907928467,2.0010008811950684,30,22.865679264068604,geom_gcn,chameleon,7,True,2277,31371,0.2299257275827994,"{'low': [0.32195839285850525, 0.2292405366897583, 0.2288026362657547, 0.21999837458133698], 'high': [0.4348691999912262, 0.2623293101787567, 0.3028015196323395]}",0.4589317739009857,0.1647842824459076,0.3408411145210266,0.4407638609409332,0.56238853931427,0.368961364030838,0.1189023554325103,0.994834303855896,64.0,,
chameleon,mlp,8,0.9432234168052672,0.5377228856086731,0.4956140220165252,0.2275663316249847,1.3896328210830688,1.442415475845337,90,9.683480739593506,geom_gcn,chameleon,8,True,2277,31371,0.2299257275827994,,,,,,,,,,,,
chameleon,gcn,8,0.7756410241127014,0.6570644974708557,0.6535087823867798,0.6954447031021118,1.1951581239700315,1.171191930770874,217,21.150575160980225,geom_gcn,chameleon,8,True,2277,31371,0.2299257275827994,,,,,,,,,,,,
chameleon,sgc,8,0.6291208863258362,0.5486968159675598,0.5241228342056274,1.0815881490707395,1.2217384576797483,1.2169153690338137,98,69.04247331619263,geom_gcn,chameleon,8,True,2277,31371,0.2299257275827994,,,,,,,,,,,,
chameleon,appnp,8,0.8159340620040894,0.5486968159675598,0.515350878238678,0.7007439136505127,1.2367157936096191,1.2680821418762207,100,21.6278817653656,geom_gcn,chameleon,8,True,2277,31371,0.2299257275827994,,,,,,,,,,,,
chameleon,mixhop,8,0.9258241653442384,0.5816186666488647,0.5592105388641357,0.5401790142059326,1.1452581882476809,1.164144515991211,12,40.19243836402893,geom_gcn,chameleon,8,True,2277,31371,0.2299257275827994,,,,,,,,,,,,
chameleon,gprgnn,8,0.9771062135696412,0.6282578706741333,0.6052631735801697,0.1269007623195648,1.4176957607269287,1.4535603523254397,186,33.33550310134888,geom_gcn,chameleon,8,True,2277,31371,0.2299257275827994,,,,,,,,,,,,
chameleon,h2gcn,8,0.988095223903656,0.6776406168937683,0.6228070259094238,0.0789850428700447,1.0611250400543213,1.248430609703064,196,33.36879897117615,geom_gcn,chameleon,8,True,2277,31371,0.2299257275827994,,,,,,,,,,,,
chameleon,linkx,8,0.9972527623176576,0.6227709054946899,0.625,0.0308707933872938,1.336617112159729,1.414620876312256,59,9.813201189041138,geom_gcn,chameleon,8,True,2277,31371,0.2299257275827994,,,,,,,,,,,,
chameleon,harp,8,0.9542124271392822,0.5747599601745605,0.5438596606254578,0.1823893040418625,1.389907956123352,1.481064796447754,19,20.12875986099243,geom_gcn,chameleon,8,True,2277,31371,0.2299257275827994,"{'low': [0.3216231167316437, 0.2255861461162567, 0.22704440355300903, 0.22574634850025177], 'high': [0.4211467504501343, 0.2879210114479065, 0.2909323275089264]}",0.4411054849624634,0.2295252084732055,0.2516330182552337,0.367946445941925,0.5729361772537231,0.3154987394809723,0.1198877990245819,0.9999892711639404,64.0,,
chameleon,mlp,9,0.931318700313568,0.5404663681983948,0.5065789222717285,0.2471862137317657,1.3985769748687744,1.4550163745880127,116,11.290210247039797,geom_gcn,chameleon,9,True,2277,31371,0.2299257275827994,,,,,,,,,,,,
chameleon,gcn,9,0.8049450516700745,0.6515775322914124,0.6337719559669495,0.6791641712188721,1.120551586151123,1.0828243494033811,171,19.53243923187256,geom_gcn,chameleon,9,True,2277,31371,0.2299257275827994,,,,,,,,,,,,
chameleon,sgc,9,0.6208791136741638,0.5198902487754822,0.5241228342056274,1.112321138381958,1.237289309501648,1.187480330467224,69,56.38832998275757,geom_gcn,chameleon,9,True,2277,31371,0.2299257275827994,,,,,,,,,,,,
chameleon,appnp,9,0.8012820482254028,0.5459533333778381,0.5263158082962036,0.7516140341758728,1.2621475458145142,1.2108572721481323,74,18.140233278274536,geom_gcn,chameleon,9,True,2277,31371,0.2299257275827994,,,,,,,,,,,,
chameleon,mixhop,9,0.9322344064712524,0.5679012537002563,0.5767543911933899,0.3652409315109253,1.1434553861618042,1.1333104372024536,15,41.8907585144043,geom_gcn,chameleon,9,True,2277,31371,0.2299257275827994,,,,,,,,,,,,
chameleon,gprgnn,9,0.976190447807312,0.6351165771484375,0.6118420958518982,0.1168152838945388,1.3146973848342896,1.3195769786834717,246,33.87648296356201,geom_gcn,chameleon,9,True,2277,31371,0.2299257275827994,,,,,,,,,,,,
chameleon,h2gcn,9,0.9789377450942992,0.6351165771484375,0.5877193212509155,0.120653860270977,1.186490178108215,1.292515993118286,101,21.24888134002685,geom_gcn,chameleon,9,True,2277,31371,0.2299257275827994,,,,,,,,,,,,
chameleon,linkx,9,1.0,0.6213991641998291,0.6118420958518982,0.0121740950271487,1.3794983625411987,1.4381725788116455,114,14.48828125,geom_gcn,chameleon,9,True,2277,31371,0.2299257275827994,,,,,,,,,,,,
chameleon,harp,9,0.9945054650306702,0.5582990646362305,0.5504385828971863,0.0188336540013551,2.215960741043091,2.2982473373413086,43,26.16053056716919,geom_gcn,chameleon,9,True,2277,31371,0.2299257275827994,"{'low': [0.33032217621803284, 0.24124738574028015, 0.21720147132873535, 0.21122899651527405], 'high': [0.46549442410469055, 0.22729088366031647, 0.30721476674079895]}",0.4584112763404846,0.1695630401372909,0.3169470429420471,0.4495854079723358,0.5659468173980713,0.3774634897708893,0.0868408381938934,0.9999022483825684,64.0,,
squirrel,mlp,0,0.939102590084076,0.3629807829856872,0.3707973062992096,0.4190555512905121,1.6037167310714722,1.5680854320526123,106,22.439263343811035,geom_gcn,squirrel,0,True,5201,198353,0.2221342757608909,,,,,,,,,,,,
squirrel,gcn,0,0.6129807829856873,0.4302884638309479,0.4361191093921661,1.1178488731384275,1.4696357250213623,1.4441308975219729,211,69.38160729408264,geom_gcn,squirrel,0,True,5201,198353,0.2221342757608909,,,,,,,,,,,,
squirrel,sgc,0,0.5004006624221802,0.4242788553237915,0.4380403459072113,1.3063231706619265,1.4227758646011353,1.3945930004119873,200,10.37446928024292,geom_gcn,squirrel,0,True,5201,198353,0.2221342757608909,,,,,,,,,,,,
squirrel,appnp,0,0.6498397588729858,0.3810096085071563,0.3650336265563965,1.1518957614898682,1.5005022287368774,1.4719589948654177,65,72.58382892608643,geom_gcn,squirrel,0,True,5201,198353,0.2221342757608909,,,,,,,,,,,,
squirrel,mixhop,0,0.8413461446762085,0.3834134638309479,0.3794428408145904,0.5552170276641846,1.6353460550308228,1.6004316806793213,18,21.44078516960144,geom_gcn,squirrel,0,True,5201,198353,0.2221342757608909,,,,,,,,,,,,
squirrel,gprgnn,0,0.948317289352417,0.4338942170143127,0.4457252621650696,0.3334932923316955,1.4420018196105957,1.4096364974975586,170,133.49999737739563,geom_gcn,squirrel,0,True,5201,198353,0.2221342757608909,,,,,,,,,,,,
squirrel,h2gcn,0,0.9527243375778198,0.453125,0.4428434073925018,0.3361404240131378,1.3605386018753052,1.321982502937317,117,92.35210347175598,geom_gcn,squirrel,0,True,5201,198353,0.2221342757608909,,,,,,,,,,,,
squirrel,linkx,0,0.9975961446762084,0.4651442170143127,0.4812680184841156,0.0355525948107242,1.6205891370773315,1.51972758769989,241,60.19398617744446,geom_gcn,squirrel,0,True,5201,198353,0.2221342757608909,,,,,,,,,,,,
squirrel,harp,0,0.7003205418586731,0.3575721085071563,0.3794428408145904,0.8938772678375244,1.5234647989273071,1.4888767004013062,22,73.83998227119446,geom_gcn,squirrel,0,True,5201,198353,0.2221342757608909,"{'low': [0.3342219591140747, 0.22438883781433105, 0.22168339788913727, 0.21970584988594055], 'high': [0.4252361059188843, 0.28600066900253296, 0.28876328468322754]}",0.3154328167438507,0.175968199968338,0.2104582339525222,0.2412391901016235,0.3579696416854858,0.1338023990392685,0.0107967117801308,0.9999706745147704,64.0,,
squirrel,mlp,1,0.9383012652397156,0.3671875,0.3592699468135834,0.4139429628849029,1.5812649726867676,1.5887072086334229,108,22.811508893966675,geom_gcn,squirrel,1,True,5201,198353,0.2221342757608909,,,,,,,,,,,,
squirrel,gcn,1,0.5753205418586731,0.4296875,0.4073006808757782,1.1676154136657717,1.4522114992141724,1.455593228340149,157,60.29507303237915,geom_gcn,squirrel,1,True,5201,198353,0.2221342757608909,,,,,,,,,,,,
